article_id,doc_id,title
01/2013/ttlt-bnv-bqp+12,01/2013/ttlt-bnv-bqp,Điều 12. Chương trình đào tạo
01/2014/tt-bgdđt+1,01/2014/tt-bgdđt,Điều 1. Ban hành kèm theo Thông tư này Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam.
01/2014/tt-bgdđt+2,01/2014/tt-bgdđt,Điều 2. Thông tư này có hiệu lực thi hành kể từ ngày 16 tháng 3 năm 2014. Các quy định trước đây về chương trình ngoại ngữ trái với quy định tại Thông tư này đều bị bãi bỏ.
01/2015/tt-bgdđt+35,01/2015/tt-bgdđt,"Điều 35. Chương trình đào tạo, giáo trình"
01/2017/tt-btnmt+1,01/2017/tt-btnmt,"Điều 1. Ban hành kèm theo Thông tư này Định mức sử dụng đất xây dựng cơ sở văn hóa, cơ sở y tế, cơ sở giáo dục và đào tạo, cơ sở thể dục thể thao."
01/2017/tt-btnmt+2,01/2017/tt-btnmt,Điều 2. Thông tư này có hiệu lực thi hành kể từ ngày 30 tháng 3 năm 2017.
02/2008/qđ-byt+1,02/2008/qđ-byt,"Điều 1. Ban hành kèm theo Quyết định này “Quy định mẫu trang phục, phù hiệu, cấp hiệu và biển hiệu Thanh tra Y tế”."
02/2008/qđ-byt+2,02/2008/qđ-byt,"Điều 2. Quyết định có hiệu lực sau 15 ngày, kể từ ngày đăng Công báo."
02/2017/qđ-ktnn+1,02/2017/qđ-ktnn,Điều 1. Ban hành kèm theo Quyết định này Quy trình kiểm toán dự án đầu tư xây dựng công trình.
02/2017/qđ-ktnn+2,02/2017/qđ-ktnn,"Điều 2. Quyết định này có hiệu lực sau 45 ngày kể từ ngày ký, thay thế Quyết định số 04/2013/QĐ-KTNN ngày 05/04/2013 của Tổng Kiểm toán nhà nước về việc ban hành Quy trình kiểm toán dự án đầu tư xây dựng công trình."
02/2018/qđ-ktnn+1,02/2018/qđ-ktnn,Điều 1. Ban hành kèm theo Quyết định này Quy trình kiểm toán Báo cáo quyết toán ngân sách nhà nước.
02/2018/qđ-ktnn+2,02/2018/qđ-ktnn,"Điều 2. Quyết định này có hiệu lực thi hành sau 45 ngày, kể từ ngày ký và thay thế Quyết định số 03/2013/QĐ-KTNN ngày 03/4/2013 của Tổng Kiểm toán nhà nước ban hành Quy trình kiểm toán báo cáo quyết toán ngân sách nhà nước."
02/2019/qđ-ktnn+1,02/2019/qđ-ktnn,Điều 1. Ban hành kèm theo Quyết định này Hướng dẫn phương pháp tiếp cận kiểm toán dựa trên đánh giá rủi ro và xác định trọng yếu trong kiểm toán Báo cáo tài chính ngân hàng.
02/2019/qđ-ktnn+2,02/2019/qđ-ktnn,Điều 2. Quyết định này có hiệu lực sau 45 ngày kể từ ngày ký.
