article_a,article_b,hamming,title_a,title_b
155/2020/nd-cp+87,155/2020/nđ-cp+87,0,Điều 87. Trách nhiệm của Hội đồng quản trị công ty mục tiêu hoặc Ban đại diện quỹ đầu tư mục tiêu,Điều 87. Trách nhiệm của Hội đồng quản trị công ty mục tiêu hoặc Ban đại diện quỹ đầu tư mục tiêu
155/2020/nd-cp+116,155/2020/nđ-cp+116,0,"Điều 116. Hồ sơ, thủ tục tiếp tục niêm yết, đăng ký niêm yết cổ phiếu của doanh nghiệp sau quá trình cơ cấu lại khác","Điều 116. Hồ sơ, thủ tục tiếp tục niêm yết, đăng ký niêm yết cổ phiếu của doanh nghiệp sau quá trình cơ cấu lại khác"
152/2017/nđ-cp+2,50/2017/qđ-ttg+2,0,Điều 2. Đối tượng áp dụng,Điều 2. Đối tượng áp dụng
50/2018/nđ-cp+1,83/2012/nđ-cp+1,0,Điều 1. Vị trí và chức năng,Điều 1. Vị trí và chức năng
155/2020/nd-cp+22,155/2020/nđ-cp+22,0,"Điều 22. Hồ sơ đăng ký chào bán trái phiếu chuyển đổi, trái phiếu kèm chứng quyền ra công chúng của công ty đại chúng","Điều 22. Hồ sơ đăng ký chào bán trái phiếu chuyển đổi, trái phiếu kèm chứng quyền ra công chúng của công ty đại chúng"
155/2020/nd-cp+231,155/2020/nđ-cp+231,0,Điều 231. Hồ sơ giải thể quỹ thành viên,Điều 231. Hồ sơ giải thể quỹ thành viên
155/2020/nd-cp+286,155/2020/nđ-cp+286,0,Điều 286. Thành viên Ban kiểm soát,Điều 286. Thành viên Ban kiểm soát
155/2020/nd-cp+66,155/2020/nđ-cp+66,0,Điều 66. Chứng khoán của tổ chức nước ngoài thưởng cho người lao động Việt Nam làm việc trong các tổ chức nước ngoài tại Việt Nam,Điều 66. Chứng khoán của tổ chức nước ngoài thưởng cho người lao động Việt Nam làm việc trong các tổ chức nước ngoài tại Việt Nam
155/2020/nd-cp+247,155/2020/nđ-cp+247,0,Điều 247. Quỹ đầu tư bất động sản,Điều 247. Quỹ đầu tư bất động sản
24/2020/nd-cp+13,24/2020/nđ-cp+13,0,"Điều 13. Chi hoạt động của Ban Chỉ đạo phòng, chống tác hại của rượu, bia","Điều 13. Chi hoạt động của Ban Chỉ đạo phòng, chống tác hại của rượu, bia"
02/2014/tt-ttcp+11,78/2013/tt-bqp+11,0,Điều 11. Hiệu lực thi hành,Điều 11. Hiệu lực thi hành
09/2014/ttlt-btp-tandtc-vksndtc+4,09/2014/ttlt-btp-tandtc-vksndtc-btc+4,0,Điều 4. Ký hợp đồng dịch vụ tống đạt,Điều 4. Ký hợp đồng dịch vụ tống đạt
146/2018/nð-cp+6,146/2018/nđ-cp+6,0,Điều 6. Nhóm do người sử dụng lao động đóng,Điều 6. Nhóm do người sử dụng lao động đóng
63/2019/nđ-+38,63/2019/nđ-cp+38,0,Điều 38. Thẩm quyền xử phạt của Chủ tịch Ủy ban nhân dân,Điều 38. Thẩm quyền xử phạt của Chủ tịch Ủy ban nhân dân
91/2019/nd-cp+17,91/2019/nđ-cp+17,0,Điều 17. Không đăng ký đất đai,Điều 17. Không đăng ký đất đai
155/2020/nd-cp+225,155/2020/nđ-cp+225,0,"Điều 225. Hồ sơ tăng, giảm vốn điều lệ quỹ thành viên","Điều 225. Hồ sơ tăng, giảm vốn điều lệ quỹ thành viên"
155/2020/nd-cp+305,155/2020/nđ-cp+305,0,"Điều 305. Tạm ngừng, đình chỉ một phần hoặc toàn bộ hoặc khôi phục hoạt động đăng ký, lưu ký, bù trừ, thanh toán chứng khoán của Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam","Điều 305. Tạm ngừng, đình chỉ một phần hoặc toàn bộ hoặc khôi phục hoạt động đăng ký, lưu ký, bù trừ, thanh toán chứng khoán của Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam"
91/2019/nd-cp+14,91/2019/nđ-cp+14,0,"Điều 14. Lấn, chiếm đất","Điều 14. Lấn, chiếm đất"
91/2019/nd-cp+33,91/2019/nđ-cp+33,0,Điều 33. Không làm thủ tục chuyển sang thuê đất đối với trường hợp quy định tại khoản 2 Điều 60 của Luật đất đai,Điều 33. Không làm thủ tục chuyển sang thuê đất đối với trường hợp quy định tại khoản 2 Điều 60 của Luật đất đai
07/2018/tt-bvhttdl+8,21/2018/tt-bvhttdl+8,0,Điều 8. Tổ chức thực hiện,Điều 8. Tổ chức thực hiện
155/2020/nd-cp+119,155/2020/nđ-cp+119,0,Điều 119. Niêm yết trái phiếu của doanh nghiệp sau quá trình tổ chức lại,Điều 119. Niêm yết trái phiếu của doanh nghiệp sau quá trình tổ chức lại
24/2020/nd-cp+17,24/2020/nđ-cp+17,0,Điều 17. Trách nhiệm quản lý nhà nước của Bộ Công Thương,Điều 17. Trách nhiệm quản lý nhà nước của Bộ Công Thương
63/2019/nđ-+45,63/2019/nđ-cp+45,0,"Điều 45. Hành vi vi phạm quy định về nhập, xuất hàng dự trữ quốc gia","Điều 45. Hành vi vi phạm quy định về nhập, xuất hàng dự trữ quốc gia"
155/2020/nd-cp+252,155/2020/nđ-cp+252,0,"Điều 252. Điều kiện chào bán chứng chỉ quỹ hoán đổi danh mục lần đầu ra công chúng, niêm yết chứng chỉ quỹ hoán đổi danh mục","Điều 252. Điều kiện chào bán chứng chỉ quỹ hoán đổi danh mục lần đầu ra công chúng, niêm yết chứng chỉ quỹ hoán đổi danh mục"
102/2017/nð-cp+38,102/2017/nđ-cp+38,0,Điều 38. Thủ tục đăng ký biện pháp bảo đảm bằng tàu biển; đăng ký thay đổi nội dung biện pháp bảo đảm đã đăng ký; sửa chữa sai sót; xóa đăng ký; đăng ký văn bản thông báo về việc xử lý tài sản thế chấp tàu biển,Điều 38. Thủ tục đăng ký biện pháp bảo đảm bằng tàu biển; đăng ký thay đổi nội dung biện pháp bảo đảm đã đăng ký; sửa chữa sai sót; xóa đăng ký; đăng ký văn bản thông báo về việc xử lý tài sản thế chấp tàu biển
102/2017/nð-cp+66,102/2017/nđ-cp+66,0,"Điều 66. Nhiệm vụ, quyền hạn của các cơ quan trong quản lý nhà nước về đăng ký biện pháp bảo đảm","Điều 66. Nhiệm vụ, quyền hạn của các cơ quan trong quản lý nhà nước về đăng ký biện pháp bảo đảm"
15/2013/tt-btnmt+4,16/2013/tt-btnmt+4,0,"Điều 4. Công tác kiểm tra kỹ thuật, nghiệm thu sản phẩm","Điều 4. Công tác kiểm tra kỹ thuật, nghiệm thu sản phẩm"
15/2013/tt-btnmt+4,17/2013/tt-btnmt+4,0,"Điều 4. Công tác kiểm tra kỹ thuật, nghiệm thu sản phẩm","Điều 4. Công tác kiểm tra kỹ thuật, nghiệm thu sản phẩm"
16/2013/tt-btnmt+4,17/2013/tt-btnmt+4,0,"Điều 4. Công tác kiểm tra kỹ thuật, nghiệm thu sản phẩm","Điều 4. Công tác kiểm tra kỹ thuật, nghiệm thu sản phẩm"
63/2019/nđ-+3,63/2019/nđ-cp+3,0,Điều 3. Thời hiệu xử phạt vi phạm hành chính,Điều 3. Thời hiệu xử phạt vi phạm hành chính
63/2019/nđ-+23,63/2019/nđ-cp+23,0,Điều 23. Hành vi vi phạm quy định về việc đăng nhập và sử dụng số liệu về tài sản được xác lập quyền sở hữu toàn dân,Điều 23. Hành vi vi phạm quy định về việc đăng nhập và sử dụng số liệu về tài sản được xác lập quyền sở hữu toàn dân
155/2020/nd-cp+220,155/2020/nđ-cp+220,0,"Điều 220. Hồ sơ, trình tự, thủ tục cấp Giấy chứng nhận đăng ký hoạt động phân phối chứng chỉ quỹ đại chúng","Điều 220. Hồ sơ, trình tự, thủ tục cấp Giấy chứng nhận đăng ký hoạt động phân phối chứng chỉ quỹ đại chúng"
63/2019/nđ-+26,63/2019/nđ-cp+26,0,Điều 26. Hành vi vi phạm quy định về tổ chức xử lý tài sản kết cấu hạ tầng,Điều 26. Hành vi vi phạm quy định về tổ chức xử lý tài sản kết cấu hạ tầng
63/2019/nđ-+61,63/2019/nđ-cp+61,0,"Điều 61. Hành vi lập hồ sơ, giấy tờ giả mạo để làm thủ tục đăng ký sử dụng tài khoản tại Kho bạc Nhà nước nhưng chưa đến mức truy cứu trách nhiệm hình sự","Điều 61. Hành vi lập hồ sơ, giấy tờ giả mạo để làm thủ tục đăng ký sử dụng tài khoản tại Kho bạc Nhà nước nhưng chưa đến mức truy cứu trách nhiệm hình sự"
102/2017/nð-cp+21,102/2017/nđ-cp+21,0,Điều 21. Các trường hợp xóa đăng ký biện pháp bảo đảm,Điều 21. Các trường hợp xóa đăng ký biện pháp bảo đảm
155/2020/nd-cp+11,155/2020/nđ-cp+11,0,Điều 11. Hồ sơ đăng ký chào bán cổ phiếu lần đầu ra công chúng của công ty cổ phần,Điều 11. Hồ sơ đăng ký chào bán cổ phiếu lần đầu ra công chúng của công ty cổ phần
160/2018/nđ-cp+6,66/2014/nđ-cp+6,0,Điều 6. Cấp độ rủi ro thiên tai,Điều 6. Cấp độ rủi ro thiên tai
03/2021/tt-bgddt+1,03/2021/tt-bgdđt+1,0,Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng,Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng
102/2017/nð-cp+2,102/2017/nđ-cp+2,0,Điều 2. Đối tượng áp dụng,Điều 2. Đối tượng áp dụng
107/2020/nđ-cp+3,108/2020/nđ-cp+3,0,Điều 3. Hiệu lực thi hành,Điều 3. Hiệu lực thi hành
155/2020/nd-cp+174,155/2020/nđ-cp+174,0,Điều 174. Quy định chung,Điều 174. Quy định chung
155/2020/nd-cp+176,155/2020/nđ-cp+176,0,"Điều 176. Hồ sơ đề nghị cấp, cấp đổi Giấy phép thành lập và hoạt động kinh doanh chứng khoán của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán","Điều 176. Hồ sơ đề nghị cấp, cấp đổi Giấy phép thành lập và hoạt động kinh doanh chứng khoán của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán"
155/2020/nd-cp+189,155/2020/nđ-cp+189,0,"Điều 189. Chào bán và niêm yết chứng khoán của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán tại nước ngoài","Điều 189. Chào bán và niêm yết chứng khoán của công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán tại nước ngoài"
155/2020/nd-cp+259,155/2020/nđ-cp+259,0,Điều 259. Điều kiện cấp giấy phép thành lập và hoạt động của công ty đầu tư chứng khoán,Điều 259. Điều kiện cấp giấy phép thành lập và hoạt động của công ty đầu tư chứng khoán
102/2017/nð-cp+25,102/2017/nđ-cp+25,0,Điều 25. Hồ sơ đăng ký bảo lưu quyền sở hữu tàu bay trong trường hợp mua bán tàu bay có bảo lưu quyền sở hữu,Điều 25. Hồ sơ đăng ký bảo lưu quyền sở hữu tàu bay trong trường hợp mua bán tàu bay có bảo lưu quyền sở hữu
146/2018/nð-cp+36,146/2018/nđ-cp+36,0,Điều 36. Lập kế hoạch tài chính và quyết toán,Điều 36. Lập kế hoạch tài chính và quyết toán
