query_id,cau_hoi,nguyen_nhan,ghi_chu
0cf099d969541a40ebe20325e5f6b5a2,Hồ sơ thành lập quán karaoke bao gồm những gì?,thieu_ngu_canh,"Cần biết karaoke là ngành kinh doanh có điều kiện; hệ chỉ khớp bề mặt 'thành lập, hồ sơ'"
0de258fdab4ae11aa346f0bf812f96e6,"Nướng bắp, ngô trên cầu phạt bao nhiêu tiền?",thieu_ngu_canh,Ngôn ngữ đời thường 'nướng bắp trên cầu'; luật gọi là sử dụng trái phép công trình đường bộ
1b1ca3b5877c836df026df428b7784d3,Mỗi trường THCS sẽ có bao nhiêu % giáo viên hạng II?,thieu_ngu_canh,"Đáp án nằm trong điều tiêu đề chung 'Tổ chức thực hiện', không có từ khóa nào gợi ý"
3dc7f622e2ffc0f9cfc3ff44268abf8a,Giao nộp sản phẩm đo đạc và bản đồ được quy định như thế nào?,nhieu_dieu_dung,Hai văn bản cùng quy định giao nộp sản phẩm đo đạc; hệ chọn văn bản còn lại
4173e3757169f9847044358d08f47102,"Mức thưởng, ưu đãi ngành lao động thương binh và xã hội được quy định như thế nào?",thieu_ngu_canh,"Câu hỏi nêu tên ngành, đáp án nằm ở điều về mức tiền thưởng của thông tư chuyên ngành"
52d6f01dd8ef15b16db17f204f9a1d5c,Phạt cọc gấp đôi thì có đúng quy định pháp luật?,thieu_ngu_canh,"Chữ 'phạt cọc' là chế định dân sự, không phải xử phạt hành chính; hệ hiểu nhầm theo mặt chữ"
5a86cb1005b80737e3227fb2eae4f287,Trách nhiệm cung cấp thông tin liên quan đến tình hình sử dụng lao động của giám đốc doanh nghiệp được quy định như thế nào ?,nhieu_dieu_dung,Cả Luật Việc làm lẫn thông tư hướng dẫn đều nói về nghĩa vụ này
5c8f59ea669ab69b33f6e291047ebadc,Nguồn kinh phí của ngân sách trung ương các hoạt động hỗ trợ trợ chi các vùng khó khăn được quy định thế nào?,nhieu_dieu_dung,Nhiều văn bản có điều tên 'Nguồn kinh phí' cho các chương trình hỗ trợ khác nhau
7488baac4688cbcf600c1bd98ce1d447,Vẫn bị giữ bằng lái xe khi đã nộp đủ tiền phạt?,nhieu_dieu_dung,"Cùng Nghị định 100/2019, gold là Điều 6 còn hệ trả Điều 21, đều nói về giấy phép lái xe"
76dfb5311239aa587100821676e47309,Gọi điện thoại ở cây xăng phạt bao nhiêu tiền?,thieu_ngu_canh,"Cần biết cây xăng thuộc phạm vi phòng cháy chữa cháy, không phải giao thông"
808d9b40858bba05be7a191b182be2ef,Không đăng ký tạm trú cho khách nước ngoài phạt bao nhiêu tiền?,sai_gold,"Câu hỏi hỏi mức phạt, gold lại là điều quy định nghĩa vụ khai báo; điều hệ trả về đúng hơn"
b99998cd09993202d452be4372167247,Người chấp hành biện pháp bắt buộc chữa bệnh sẽ chữa bệnh ở đâu?,sai_gold,"Hệ trả Điều 138 'Tổ chức điều trị cho người bị bắt buộc chữa bệnh', sát câu hỏi hơn gold"
ccd31dd10bca45a36f58e79dc606f14a,Ngày buộc dùng hóa đơn điện tử được quy định như thế nào?,thieu_ngu_canh,"Ngày bắt buộc áp dụng nằm ở điều 'Hiệu lực thi hành', tiêu đề không gợi ý gì"
d326fbdb3a4fc3705fe054cdfa0c8be1,"Buộc trâu, bò vào hai bên đường có bị sao không?",thieu_ngu_canh,Ngôn ngữ đời thường 'buộc trâu bò hai bên đường'; luật diễn đạt hoàn toàn khác
d6e0c0d173c29804a3f36f20186f5690,Người cao tuổi có được bổ nhiệm Thừa phát lại hay không?,nhieu_dieu_dung,Trả lời đầy đủ cần cả định nghĩa người cao tuổi lẫn tiêu chuẩn bổ nhiệm; nhãn chỉ ghi một
f4776844d044439444bc60a393c7369b,Công ty làm HĐ mua xe và cho thuê lại nhằm cho vay với lãi cao có vi phạm?,thieu_ngu_canh,"Cần suy luận pháp lý rằng đây là giao dịch giả tạo, không thể suy từ mặt chữ"
f8a5b37d92700903f34f674499388742,Hộ kinh doanh cá thể nộp hồ sơ nhận trợ cấp Covid-19 tại cơ quan nào?,thieu_ngu_canh,"Trợ cấp Covid-19 nằm ở quyết định riêng năm 2020, hệ không nối được ngữ cảnh"
